Timestamp,CUSIP,Bid,Ask
2023-12-24 20:11:27.251,9128283H1,99-114,99-120
2023-12-24 20:11:27.269,9128283H1,99-115,99-121
2023-12-24 20:11:27.280,9128283H1,99-117,99-121
2023-12-24 20:11:27.298,9128283H1,99-117,99-123
2023-12-24 20:11:27.308,9128283H1,99-120,99-124
2023-12-24 20:11:27.324,9128283H1,99-122,99-124
2023-12-24 20:11:27.344,9128283H1,99-122,99-126
2023-12-24 20:11:27.346,9128283H1,99-124,99-126
2023-12-24 20:11:27.358,9128283H1,99-125,99-127
2023-12-24 20:11:27.367,9128283H1,99-125,99-131
2023-12-24 20:11:27.386,9128283H1,99-127,99-131
2023-12-24 20:11:27.389,9128283H1,99-127,99-133
2023-12-24 20:11:27.390,9128283H1,99-130,99-134
2023-12-24 20:11:27.401,9128283H1,99-131,99-135
2023-12-24 20:11:27.405,9128283H1,99-133,99-135
2023-12-24 20:11:27.425,9128283H1,99-133,99-137
2023-12-24 20:11:27.441,9128283H1,99-135,99-137
2023-12-24 20:11:27.444,9128283H1,99-135,99-141
2023-12-24 20:11:27.462,9128283H1,99-137,99-141
2023-12-24 20:11:27.480,9128283H1,99-140,99-142
2023-12-24 20:11:27.483,9128283H1,99-140,99-144
2023-12-24 20:11:27.492,9128283H1,99-141,99-145
2023-12-24 20:11:27.496,9128283H1,99-142,99-146
2023-12-24 20:11:27.512,9128283H1,99-144,99-146
2023-12-24 20:11:27.520,9128283H1,99-145,99-147
2023-12-24 20:11:27.537,9128283H1,99-145,99-151
2023-12-24 20:11:27.553,9128283H1,99-146,99-152
2023-12-24 20:11:27.572,9128283H1,99-147,99-153
2023-12-24 20:11:27.586,9128283H1,99-151,99-153
2023-12-24 20:11:27.592,9128283H1,99-151,99-155
2023-12-24 20:11:27.600,9128283H1,99-153,99-155
2023-12-24 20:11:27.602,9128283H1,99-154,99-156
2023-12-24 20:11:27.603,9128283H1,99-154,99-160
2023-12-24 20:11:27.604,9128283H1,99-155,99-161
2023-12-24 20:11:27.620,9128283H1,99-157,99-161
2023-12-24 20:11:27.623,9128283H1,99-157,99-163
2023-12-24 20:11:27.640,9128283H1,99-160,99-164
2023-12-24 20:11:27.654,9128283H1,99-161,99-165
2023-12-24 20:11:27.657,9128283H1,99-162,99-166
2023-12-24 20:11:27.662,9128283H1,99-164,99-166
2023-12-24 20:11:27.679,9128283H1,99-165,99-167
2023-12-24 20:11:27.682,9128283H1,99-165,99-171
2023-12-24 20:11:27.702,9128283H1,99-166,99-172
2023-12-24 20:11:27.703,9128283H1,99-170,99-172
2023-12-24 20:11:27.721,9128283H1,99-171,99-173
2023-12-24 20:11:27.724,9128283H1,99-172,99-174
2023-12-24 20:11:27.742,9128283H1,99-173,99-175
2023-12-24 20:11:27.744,9128283H1,99-173,99-177
2023-12-24 20:11:27.754,9128283H1,99-174,99-180
2023-12-24 20:11:27.771,9128283H1,99-176,99-180
2023-12-24 20:11:27.780,9128283H1,99-176,99-182
2023-12-24 20:11:27.796,9128283H1,99-177,99-183
2023-12-24 20:11:27.806,9128283H1,99-181,99-183
2023-12-24 20:11:27.809,9128283H1,99-182,99-184
2023-12-24 20:11:27.822,9128283H1,99-182,99-186
2023-12-24 20:11:27.829,9128283H1,99-183,99-187
2023-12-24 20:11:27.842,9128283H1,99-184,99-190
2023-12-24 20:11:27.850,9128283H1,99-185,99-191
2023-12-24 20:11:27.866,9128283H1,99-187,99-191
2023-12-24 20:11:27.885,9128283H1,99-187,99-193
2023-12-24 20:11:27.887,9128283H1,99-191,99-193
2023-12-24 20:11:27.906,9128283H1,99-192,99-194
2023-12-24 20:11:27.923,9128283H1,99-193,99-195
2023-12-24 20:11:27.929,9128283H1,99-194,99-196
2023-12-24 20:11:27.940,9128283H1,99-195,99-197
2023-12-24 20:11:27.941,9128283H1,99-196,99-200
2023-12-24 20:11:27.953,9128283H1,99-196,99-202
2023-12-24 20:11:27.960,9128283H1,99-197,99-203
2023-12-24 20:11:27.973,9128283H1,99-200,99-204
2023-12-24 20:11:27.988,9128283H1,99-201,99-205
2023-12-24 20:11:27.996,9128283H1,99-202,99-206
2023-12-24 20:11:28.009,9128283H1,99-204,99-206
2023-12-24 20:11:28.019,9128283H1,99-204,99-210
2023-12-24 20:11:28.036,9128283H1,99-206,99-210
2023-12-24 20:11:28.055,9128283H1,99-207,99-211
2023-12-24 20:11:28.060,9128283H1,99-207,99-213
2023-12-24 20:11:28.069,9128283H1,99-210,99-214
2023-12-24 20:11:28.070,9128283H1,99-212,99-214
2023-12-24 20:11:28.071,9128283H1,99-212,99-216
2023-12-24 20:11:28.087,9128283H1,99-214,99-216
2023-12-24 20:11:28.100,9128283H1,99-214,99-220
2023-12-24 20:11:28.116,9128283H1,99-215,99-221
2023-12-24 20:11:28.121,9128283H1,99-216,99-222
2023-12-24 20:11:28.124,9128283H1,99-217,99-223
2023-12-24 20:11:28.140,9128283H1,99-220,99-224
2023-12-24 20:11:28.154,9128283H1,99-221,99-225
2023-12-24 20:11:28.169,9128283H1,99-223,99-225
2023-12-24 20:11:28.183,9128283H1,99-224,99-226
2023-12-24 20:11:28.188,9128283H1,99-224,99-230
2023-12-24 20:11:28.204,9128283H1,99-226,99-230
2023-12-24 20:11:28.208,9128283H1,99-227,99-231
2023-12-24 20:11:28.213,9128283H1,99-230,99-232
2023-12-24 20:11:28.223,9128283H1,99-231,99-233
2023-12-24 20:11:28.227,9128283H1,99-231,99-235
2023-12-24 20:11:28.237,9128283H1,99-233,99-235
2023-12-24 20:11:28.238,9128283H1,99-233,99-237
2023-12-24 20:11:28.251,9128283H1,99-234,99-240
2023-12-24 20:11:28.267,9128283H1,99-235,99-241
2023-12-24 20:11:28.284,9128283H1,99-236,99-242
2023-12-24 20:11:28.304,9128283H1,99-237,99-243
2023-12-24 20:11:28.322,9128283H1,99-240,99-244
2023-12-24 20:11:28.323,9128283H1,99-241,99-245
2023-12-24 20:11:28.342,9128283H1,99-242,99-246
2023-12-24 20:11:28.354,9128283H1,99-243,99-247
2023-12-24 20:11:28.355,9128283H1,99-244,99-250
2023-12-24 20:11:28.366,9128283H1,99-245,99-251
2023-12-24 20:11:28.379,9128283H1,99-247,99-251
2023-12-24 20:11:28.393,9128283H1,99-250,99-252
2023-12-24 20:11:28.412,9128283H1,99-251,99-253
2023-12-24 20:11:28.429,9128283H1,99-251,99-255
2023-12-24 20:11:28.439,9128283H1,99-253,99-255
2023-12-24 20:11:28.441,9128283H1,99-254,99-256
2023-12-24 20:11:28.448,9128283H1,99-255,99-257
2023-12-24 20:11:28.466,9128283H1,99-255,99-261
2023-12-24 20:11:28.470,9128283H1,99-256,99-262
2023-12-24 20:11:28.474,9128283H1,99-257,99-263
2023-12-24 20:11:28.483,9128283H1,99-261,99-263
2023-12-24 20:11:28.486,9128283H1,99-261,99-265
2023-12-24 20:11:28.502,9128283H1,99-262,99-266
2023-12-24 20:11:28.519,9128283H1,99-264,99-266
2023-12-24 20:11:28.524,9128283H1,99-264,99-270
2023-12-24 20:11:28.537,9128283H1,99-266,99-270
2023-12-24 20:11:28.540,9128283H1,99-266,99-272
2023-12-24 20:11:28.557,9128283H1,99-270,99-272
2023-12-24 20:11:28.577,9128283H1,99-270,99-274
2023-12-24 20:11:28.590,9128283H1,99-272,99-274
2023-12-24 20:11:28.607,9128283H1,99-273,99-275
2023-12-24 20:11:28.616,9128283H1,99-274,99-276
2023-12-24 20:11:28.625,9128283H1,99-275,99-277
2023-12-24 20:11:28.639,9128283H1,99-275,99-281
2023-12-24 20:11:28.659,9128283H1,99-276,99-282
2023-12-24 20:11:28.674,9128283H1,99-280,99-282
2023-12-24 20:11:28.679,9128283H1,99-281,99-283
2023-12-24 20:11:28.699,9128283H1,99-281,99-285
2023-12-24 20:11:28.703,9128283H1,99-283,99-285
2023-12-24 20:11:28.719,9128283H1,99-283,99-287
2023-12-24 20:11:28.732,9128283H1,99-285,99-287
2023-12-24 20:11:28.739,9128283H1,99-286,99-290
2023-12-24 20:11:28.744,9128283H1,99-286,99-292
2023-12-24 20:11:28.755,9128283H1,99-287,99-293
2023-12-24 20:11:28.770,9128283H1,99-291,99-293
2023-12-24 20:11:28.780,9128283H1,99-291,99-295
2023-12-24 20:11:28.797,9128283H1,99-292,99-296
2023-12-24 20:11:28.804,9128283H1,99-293,99-297
2023-12-24 20:11:28.812,9128283H1,99-294,99-300
2023-12-24 20:11:28.830,9128283H1,99-296,99-300
2023-12-24 20:11:28.832,9128283H1,99-296,99-302
2023-12-24 20:11:28.837,9128283H1,99-297,99-303
2023-12-24 20:11:28.845,9128283H1,99-300,99-304
2023-12-24 20:11:28.846,9128283H1,99-301,99-305
2023-12-24 20:11:28.863,9128283H1,99-302,99-306
2023-12-24 20:11:28.876,9128283H1,99-303,99-307
2023-12-24 20:11:28.882,9128283H1,99-305,99-307
2023-12-24 20:11:28.901,9128283H1,99-306,99-310
2023-12-24 20:11:28.908,9128283H1,99-307,99-311
2023-12-24 20:11:28.927,9128283H1,99-310,99-312
2023-12-24 20:11:28.930,9128283H1,99-311,99-313
2023-12-24 20:11:28.948,9128283H1,99-312,99-314
2023-12-24 20:11:28.968,9128283H1,99-312,99-316
2023-12-24 20:11:28.977,9128283H1,99-313,99-317
2023-12-24 20:11:28.980,9128283H1,99-314,99-320
2023-12-24 20:11:28.997,9128283H1,99-316,100-000
2023-12-24 20:11:28.998,9128283H1,99-316,100-002
2023-12-24 20:11:29.004,9128283H1,99-320,100-002
2023-12-24 20:11:29.017,9128283H1,100-001,100-003
2023-12-24 20:11:29.032,9128283H1,100-001,100-005
2023-12-24 20:11:29.043,9128283H1,100-003,100-005
2023-12-24 20:11:29.047,9128283H1,100-004,100-006
2023-12-24 20:11:29.067,9128283H1,100-004,100-010
2023-12-24 20:11:29.082,9128283H1,100-005,100-011
2023-12-24 20:11:29.096,9128283H1,100-007,100-011
2023-12-24 20:11:29.097,9128283H1,100-010,100-012
2023-12-24 20:11:29.100,9128283H1,100-010,100-014
2023-12-24 20:11:29.111,9128283H1,100-011,100-015
2023-12-24 20:11:29.127,9128283H1,100-012,100-016
2023-12-24 20:11:29.139,9128283H1,100-014,100-016
2023-12-24 20:11:29.147,9128283H1,100-014,100-020
2023-12-24 20:11:29.151,9128283H1,100-016,100-020
2023-12-24 20:11:29.169,9128283H1,100-017,100-021
2023-12-24 20:11:29.174,9128283H1,100-020,100-022
2023-12-24 20:11:29.191,9128283H1,100-021,100-023
2023-12-24 20:11:29.211,9128283H1,100-022,100-024
2023-12-24 20:11:29.227,9128283H1,100-022,100-026
2023-12-24 20:11:29.241,9128283H1,100-024,100-026
2023-12-24 20:11:29.247,9128283H1,100-024,100-030
2023-12-24 20:11:29.252,9128283H1,100-026,100-030
2023-12-24 20:11:29.254,9128283H1,100-026,100-032
2023-12-24 20:11:29.272,9128283H1,100-027,100-033
2023-12-24 20:11:29.277,9128283H1,100-031,100-033
2023-12-24 20:11:29.278,9128283H1,100-032,100-034
2023-12-24 20:11:29.296,9128283H1,100-032,100-036
2023-12-24 20:11:29.313,9128283H1,100-033,100-037
2023-12-24 20:11:29.330,9128283H1,100-034,100-040
2023-12-24 20:11:29.332,9128283H1,100-036,100-040
2023-12-24 20:11:29.333,9128283H1,100-037,100-041
2023-12-24 20:11:29.339,9128283H1,100-040,100-042
2023-12-24 20:11:29.344,9128283H1,100-040,100-044
2023-12-24 20:11:29.350,9128283H1,100-041,100-045
2023-12-24 20:11:29.355,9128283H1,100-042,100-046
2023-12-24 20:11:29.365,9128283H1,100-043,100-047
2023-12-24 20:11:29.382,9128283H1,100-045,100-047
2023-12-24 20:11:29.391,9128283H1,100-046,100-050
2023-12-24 20:11:29.410,9128283H1,100-047,100-051
2023-12-24 20:11:29.414,9128283H1,100-047,100-053
2023-12-24 20:11:29.431,9128283H1,100-050,100-054
2023-12-24 20:11:29.433,9128283H1,100-051,100-055
2023-12-24 20:11:29.441,9128283H1,100-053,100-055
2023-12-24 20:11:29.443,9128283H1,100-053,100-057
2023-12-24 20:11:29.446,9128283H1,100-054,100-060
2023-12-24 20:11:29.458,9128283H1,100-056,100-060
2023-12-24 20:11:29.470,9128283H1,100-056,100-062
2023-12-24 20:11:29.487,9128283H1,100-060,100-062
2023-12-24 20:11:29.502,9128283H1,100-061,100-063
2023-12-24 20:11:29.507,9128283H1,100-061,100-065
2023-12-24 20:11:29.509,9128283H1,100-062,100-066
2023-12-24 20:11:29.516,9128283H1,100-064,100-066
2023-12-24 20:11:29.518,9128283H1,100-064,100-070
2023-12-24 20:11:29.520,9128283H1,100-065,100-071
2023-12-24 20:11:29.535,9128283H1,100-067,100-071
2023-12-24 20:11:29.537,9128283H1,100-070,100-072
2023-12-24 20:11:29.543,9128283H1,100-070,100-074
2023-12-24 20:11:29.558,9128283H1,100-071,100-075
2023-12-24 20:11:29.568,9128283H1,100-073,100-075
2023-12-24 20:11:29.573,9128283H1,100-073,100-077
2023-12-24 20:11:29.583,9128283H1,100-075,100-077
2023-12-24 20:11:29.593,9128283H1,100-075,100-081
2023-12-24 20:11:29.613,9128283H1,100-077,100-081
2023-12-24 20:11:29.615,9128283H1,100-080,100-082
2023-12-24 20:11:29.617,9128283H1,100-081,100-083
2023-12-24 20:11:29.628,9128283H1,100-082,100-084
2023-12-24 20:11:29.639,9128283H1,100-083,100-085
2023-12-24 20:11:29.655,9128283H1,100-083,100-087
2023-12-24 20:11:29.671,9128283H1,100-085,100-087
2023-12-24 20:11:29.679,9128283H1,100-086,100-090
2023-12-24 20:11:29.682,9128283H1,100-087,100-091
2023-12-24 20:11:29.700,9128283H1,100-090,100-092
2023-12-24 20:11:29.719,9128283H1,100-091,100-093
2023-12-24 20:11:29.724,9128283H1,100-091,100-095
2023-12-24 20:11:29.734,9128283H1,100-093,100-095
2023-12-24 20:11:29.740,9128283H1,100-094,100-096
2023-12-24 20:11:29.749,9128283H1,100-094,100-100
2023-12-24 20:11:29.763,9128283H1,100-096,100-100
2023-12-24 20:11:29.777,9128283H1,100-097,100-101
2023-12-24 20:11:29.786,9128283H1,100-097,100-103
2023-12-24 20:11:29.801,9128283H1,100-100,100-104
2023-12-24 20:11:29.816,9128283H1,100-101,100-105
2023-12-24 20:11:29.827,9128283H1,100-102,100-106
2023-12-24 20:11:29.844,9128283H1,100-104,100-106
2023-12-24 20:11:29.845,9128283H1,100-104,100-110
2023-12-24 20:11:29.848,9128283H1,100-105,100-111
2023-12-24 20:11:29.863,9128283H1,100-106,100-112
2023-12-24 20:11:29.877,9128283H1,100-110,100-112
2023-12-24 20:11:29.891,9128283H1,100-110,100-114
2023-12-24 20:11:29.904,9128283H1,100-111,100-115
2023-12-24 20:11:29.923,9128283H1,100-113,100-115
2023-12-24 20:11:29.938,9128283H1,100-113,100-117
2023-12-24 20:11:29.949,9128283H1,100-114,100-120
2023-12-24 20:11:29.962,9128283H1,100-116,100-120
2023-12-24 20:11:29.968,9128283H1,100-117,100-121
2023-12-24 20:11:29.983,9128283H1,100-120,100-122
2023-12-24 20:11:29.988,9128283H1,100-121,100-123
2023-12-24 20:11:29.995,9128283H1,100-122,100-124
2023-12-24 20:11:30.002,9128283H1,100-122,100-126
2023-12-24 20:11:30.014,9128283H1,100-124,100-126
2023-12-24 20:11:30.027,9128283H1,100-124,100-130
2023-12-24 20:11:30.031,9128283H1,100-126,100-130
2023-12-24 20:11:30.040,9128283H1,100-126,100-132
2023-12-24 20:11:30.055,9128283H1,100-130,100-132
2023-12-24 20:11:30.057,9128283H1,100-130,100-134
2023-12-24 20:11:30.065,9128283H1,100-131,100-135
2023-12-24 20:11:30.084,9128283H1,100-132,100-136
2023-12-24 20:11:30.089,9128283H1,100-134,100-136
2023-12-24 20:11:30.091,9128283H1,100-134,100-140
2023-12-24 20:11:30.104,9128283H1,100-136,100-140
2023-12-24 20:11:30.105,9128283H1,100-136,100-142
2023-12-24 20:11:30.111,9128283H1,100-140,100-142
2023-12-24 20:11:30.127,9128283H1,100-141,100-143
2023-12-24 20:11:30.138,9128283H1,100-141,100-145
2023-12-24 20:11:30.147,9128283H1,100-143,100-145
2023-12-24 20:11:30.166,9128283H1,100-144,100-146
2023-12-24 20:11:30.171,9128283H1,100-145,100-147
2023-12-24 20:11:30.177,9128283H1,100-145,100-151
2023-12-24 20:11:30.188,9128283H1,100-146,100-152
2023-12-24 20:11:30.194,9128283H1,100-150,100-152
2023-12-24 20:11:30.200,9128283H1,100-151,100-153
2023-12-24 20:11:30.202,9128283H1,100-151,100-155
2023-12-24 20:11:30.210,9128283H1,100-152,100-156
2023-12-24 20:11:30.223,9128283H1,100-154,100-156
2023-12-24 20:11:30.229,9128283H1,100-155,100-157
2023-12-24 20:11:30.233,9128283H1,100-156,100-160
2023-12-24 20:11:30.234,9128283H1,100-157,100-161
2023-12-24 20:11:30.246,9128283H1,100-160,100-162
2023-12-24 20:11:30.260,9128283H1,100-160,100-164
2023-12-24 20:11:30.265,9128283H1,100-162,100-164
2023-12-24 20:11:30.269,9128283H1,100-163,100-165
2023-12-24 20:11:30.272,9128283H1,100-163,100-167
2023-12-24 20:11:30.290,9128283H1,100-165,100-167
2023-12-24 20:11:30.295,9128283H1,100-166,100-170
2023-12-24 20:11:30.307,9128283H1,100-166,100-172
2023-12-24 20:11:30.315,9128283H1,100-170,100-172
2023-12-24 20:11:30.316,9128283H1,100-171,100-173
2023-12-24 20:11:30.325,9128283H1,100-171,100-175
2023-12-24 20:11:30.336,9128283H1,100-173,100-175
2023-12-24 20:11:30.342,9128283H1,100-174,100-176
2023-12-24 20:11:30.359,9128283H1,100-174,100-180
2023-12-24 20:11:30.371,9128283H1,100-175,100-181
2023-12-24 20:11:30.382,9128283H1,100-177,100-181
2023-12-24 20:11:30.394,9128283H1,100-180,100-182
2023-12-24 20:11:30.395,9128283H1,100-181,100-183
2023-12-24 20:11:30.403,9128283H1,100-181,100-185
2023-12-24 20:11:30.408,9128283H1,100-182,100-186
2023-12-24 20:11:30.411,9128283H1,100-183,100-187
2023-12-24 20:11:30.416,9128283H1,100-185,100-187
2023-12-24 20:11:30.430,9128283H1,100-185,100-191
2023-12-24 20:11:30.434,9128283H1,100-186,100-192
2023-12-24 20:11:30.444,9128283H1,100-187,100-193
2023-12-24 20:11:30.452,9128283H1,100-190,100-194
2023-12-24 20:11:30.460,9128283H1,100-192,100-194
2023-12-24 20:11:30.479,9128283H1,100-192,100-196
2023-12-24 20:11:30.480,9128283H1,100-194,100-196
2023-12-24 20:11:30.495,9128283H1,100-195,100-197
2023-12-24 20:11:30.512,9128283H1,100-196,100-200
2023-12-24 20:11:30.514,9128283H1,100-197,100-201
2023-12-24 20:11:30.522,9128283H1,100-200,100-202
2023-12-24 20:11:30.529,9128283H1,100-200,100-204
2023-12-24 20:11:30.535,9128283H1,100-202,100-204
2023-12-24 20:11:30.554,9128283H1,100-202,100-206
2023-12-24 20:11:30.574,9128283H1,100-203,100-207
2023-12-24 20:11:30.575,9128283H1,100-204,100-210
2023-12-24 20:11:30.582,9128283H1,100-205,100-211
2023-12-24 20:11:30.588,9128283H1,100-206,100-212
2023-12-24 20:11:30.593,9128283H1,100-210,100-212
2023-12-24 20:11:30.594,9128283H1,100-210,100-214
2023-12-24 20:11:30.596,9128283H1,100-212,100-214
2023-12-24 20:11:30.606,9128283H1,100-213,100-215
2023-12-24 20:11:30.612,9128283H1,100-214,100-216
2023-12-24 20:11:30.627,9128283H1,100-215,100-217
2023-12-24 20:11:30.647,9128283H1,100-216,100-220
2023-12-24 20:11:30.655,9128283H1,100-216,100-222
2023-12-24 20:11:30.670,9128283H1,100-220,100-222
2023-12-24 20:11:30.683,9128283H1,100-220,100-224
2023-12-24 20:11:30.702,9128283H1,100-222,100-224
2023-12-24 20:11:30.706,9128283H1,100-222,100-226
2023-12-24 20:11:30.711,9128283H1,100-224,100-226
2023-12-24 20:11:30.721,9128283H1,100-225,100-227
2023-12-24 20:11:30.727,9128283H1,100-225,100-231
2023-12-24 20:11:30.742,9128283H1,100-227,100-231
2023-12-24 20:11:30.753,9128283H1,100-227,100-233
2023-12-24 20:11:30.766,9128283H1,100-230,100-234
2023-12-24 20:11:30.784,9128283H1,100-231,100-235
2023-12-24 20:11:30.799,9128283H1,100-233,100-235
2023-12-24 20:11:30.810,9128283H1,100-233,100-237
2023-12-24 20:11:30.814,9128283H1,100-235,100-237
2023-12-24 20:11:30.819,9128283H1,100-235,100-241
2023-12-24 20:11:30.827,9128283H1,100-237,100-241
2023-12-24 20:11:30.844,9128283H1,100-240,100-242
2023-12-24 20:11:30.853,9128283H1,100-241,100-243
2023-12-24 20:11:30.867,9128283H1,100-242,100-244
2023-12-24 20:11:30.878,9128283H1,100-242,100-246
2023-12-24 20:11:30.892,9128283H1,100-244,100-246
2023-12-24 20:11:30.906,9128283H1,100-244,100-250
2023-12-24 20:11:30.907,9128283H1,100-246,100-250
2023-12-24 20:11:30.926,9128283H1,100-247,100-251
2023-12-24 20:11:30.941,9128283H1,100-247,100-253
2023-12-24 20:11:30.950,9128283H1,100-250,100-254
2023-12-24 20:11:30.959,9128283H1,100-251,100-255
2023-12-24 20:11:30.979,9128283H1,100-253,100-255
2023-12-24 20:11:30.990,9128283H1,100-253,100-257
2023-12-24 20:11:30.997,9128283H1,100-255,100-257
2023-12-24 20:11:30.999,9128283H1,100-256,100-260
2023-12-24 20:11:31.010,9128283H1,100-257,100-261
2023-12-24 20:11:31.029,9128283H1,100-260,100-262
2023-12-24 20:11:31.036,9128283H1,100-261,100-263
2023-12-24 20:11:31.037,9128283H1,100-262,100-264
2023-12-24 20:11:31.048,9128283H1,100-262,100-266
2023-12-24 20:11:31.066,9128283H1,100-264,100-266
2023-12-24 20:11:31.073,9128283H1,100-264,100-270
2023-12-24 20:11:31.082,9128283H1,100-265,100-271
2023-12-24 20:11:31.090,9128283H1,100-266,100-272
2023-12-24 20:11:31.091,9128283H1,100-270,100-272
2023-12-24 20:11:31.110,9128283H1,100-271,100-273
2023-12-24 20:11:31.129,9128283H1,100-271,100-275
2023-12-24 20:11:31.146,9128283H1,100-273,100-275
2023-12-24 20:11:31.162,9128283H1,100-274,100-276
2023-12-24 20:11:31.180,9128283H1,100-274,100-280
2023-12-24 20:11:31.199,9128283H1,100-275,100-281
2023-12-24 20:11:31.201,9128283H1,100-276,100-282
